name,x_position,y_position,sample,ratio,rendering_time
fishy_cat,1,8,2000,2,3.028406858444214
fishy_cat,1,8,2000,4,2.086414098739624
fishy_cat,1,8,2000,5,1.6384925842285156
fishy_cat,1,8,2000,8,0.6260979175567627
fishy_cat,1,9,2000,2,2.4389915466308594
fishy_cat,1,9,2000,4,1.5312955379486084
fishy_cat,1,9,2000,5,1.1644458770751953
fishy_cat,1,9,2000,8,0.4762866497039795
fishy_cat,1,10,2000,2,2.331712007522583
fishy_cat,1,10,2000,4,1.3441545963287354
fishy_cat,1,10,2000,5,1.1089251041412354
fishy_cat,1,10,2000,8,0.3060014247894287
fishy_cat,1,11,2000,2,2.4271695613861084
fishy_cat,1,11,2000,4,1.3110499382019043
fishy_cat,1,11,2000,5,1.005112886428833
fishy_cat,1,11,2000,8,0.4587383270263672
fishy_cat,1,12,2000,2,2.1267709732055664
fishy_cat,1,12,2000,4,1.3730711936950684
fishy_cat,1,12,2000,5,1.048698902130127
fishy_cat,1,12,2000,8,0.42700934410095215
fishy_cat,1,13,2000,2,1.6572201251983643
fishy_cat,1,13,2000,4,1.3815464973449707
fishy_cat,1,13,2000,5,1.0314266681671143
fishy_cat,1,13,2000,8,0.4123110771179199
fishy_cat,1,14,2000,2,1.9215724468231201
fishy_cat,1,14,2000,4,1.314314842224121
fishy_cat,1,14,2000,5,0.9544796943664551
fishy_cat,1,14,2000,8,0.30271482467651367
fishy_cat,1,15,2000,2,1.5112252235412598
fishy_cat,1,15,2000,4,1.1006405353546143
fishy_cat,1,15,2000,5,0.9048779010772705
fishy_cat,1,15,2000,8,0.33626413345336914
fishy_cat,2,0,2000,2,6.265386343002319
fishy_cat,2,0,2000,4,4.707759380340576
fishy_cat,2,0,2000,5,3.9556705951690674
fishy_cat,2,0,2000,8,1.438448190689087
fishy_cat,2,1,2000,2,9.16269326210022
fishy_cat,2,1,2000,4,6.223629474639893
fishy_cat,2,1,2000,5,5.0401105880737305
fishy_cat,2,1,2000,8,2.0772922039031982
fishy_cat,2,2,2000,2,8.882691144943237
fishy_cat,2,2,2000,4,6.6721978187561035
fishy_cat,2,2,2000,5,5.2597880363464355
fishy_cat,2,2,2000,8,1.8587136268615723
fishy_cat,2,3,2000,2,9.552929639816284
fishy_cat,2,3,2000,4,8.323188066482544
fishy_cat,2,3,2000,5,5.864188194274902
fishy_cat,2,3,2000,8,2.4363608360290527
fishy_cat,2,4,2000,2,10.449857711791992
fishy_cat,2,4,2000,4,8.118969202041626
fishy_cat,2,4,2000,5,6.268087387084961
fishy_cat,2,4,2000,8,2.238416910171509
fishy_cat,2,5,2000,2,9.811765670776367
fishy_cat,2,5,2000,4,6.585630178451538
fishy_cat,2,5,2000,5,5.1787333488464355
fishy_cat,2,5,2000,8,2.1785647869110107
fishy_cat,2,6,2000,2,6.1356425285339355
fishy_cat,2,6,2000,4,4.270276784896851
fishy_cat,2,6,2000,5,3.2072672843933105
fishy_cat,2,6,2000,8,1.2020022869110107
fishy_cat,2,7,2000,2,3.1382575035095215
fishy_cat,2,7,2000,4,2.708899974822998
fishy_cat,2,7,2000,5,1.8667850494384766
fishy_cat,2,7,2000,8,0.820073127746582
fishy_cat,2,8,2000,2,2.0307343006134033
fishy_cat,2,8,2000,4,1.570321798324585
fishy_cat,2,8,2000,5,1.1739654541015625
fishy_cat,2,8,2000,8,0.5167858600616455
fishy_cat,2,9,2000,2,1.7845959663391113
fishy_cat,2,9,2000,4,1.5982465744018555
fishy_cat,2,9,2000,5,1.0680506229400635
fishy_cat,2,9,2000,8,0.4360086917877197
fishy_cat,2,10,2000,2,1.7945611476898193
fishy_cat,2,10,2000,4,1.3336920738220215
fishy_cat,2,10,2000,5,1.0960392951965332
fishy_cat,2,10,2000,8,0.35740065574645996
fishy_cat,2,11,2000,2,2.073197603225708
fishy_cat,2,11,2000,4,1.2934961318969727
fishy_cat,2,11,2000,5,0.9904317855834961
fishy_cat,2,11,2000,8,0.4258899688720703
fishy_cat,2,12,2000,2,2.287672758102417
fishy_cat,2,12,2000,4,1.49564528465271
fishy_cat,2,12,2000,5,1.0970947742462158
fishy_cat,2,12,2000,8,0.32034826278686523
fishy_cat,2,13,2000,2,1.988908052444458
fishy_cat,2,13,2000,4,1.2835602760314941
fishy_cat,2,13,2000,5,0.9706723690032959
fishy_cat,2,13,2000,8,0.4106934070587158
